"Condition","Timestamp","Score","Please select your choice below. You may print a copy of this consent form for your records. Clicking on the “Agree” button indicates that you have read the above information, you voluntarily agree to participate, you are 18 years of age or older, and you are fluent in English.","Which image do you prefer?","Can you spot the missing fruit?","What can you see here?","Look around where you are right now, and try to notice three new things that you have never noticed before. What are those three things?","Suppose you had to choose one of these two options. Which would you prefer?","Would you prefer to receive $1,500 today or $1,800 one month from now?","Linda is 31 years old, single, outspoken, and very bright. She majored in philosophy. As a student, she was deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations. Which is more probable?","Suppose you just unexpectedly came into $1,000. How much would you put away into your savings for your retirement? Please choose whichever option below is closest to your answer.","What day of the month is your birthday (1-31)?","Let's call that number you wrote above ""X"". So X is the day of the month you were born. Please think about that number in terms of millions of dollars. In 2008, Brad Pitt and Angelina Jolie sold the rights to the baby photos of their children to two celebrity magazines, with the proceeds going to charity. Without looking it up, do you think they sold the photos for more, or less, than $X million? Remember that X is your number from above.","Without looking it up, what's your best guess of how much they sold the rights for, in millions of dollars? Please write the number that represents your best guess; for example, if you think it is $15 million, type in 15.","If you take a coin that you happen to have out of your pocket, and you toss it high in the air in five times, and it surprisingly comes up heads all five times, what do you think will happen if you toss it one more time?","Below are four cards. You would like to evaluate whether the following rule is true: ""Any card that has a vowel on one side will have an even number on the other side."" Turn over only those cards that you need to, in order to check the rule.","Which of these two job offers would you prefer? Assume there are basically no other differences between the two opportunities.","A few days ago, you bought a ticket to a sold-out concert. You really love their music and would have paid up to $500 for the ticket, but you got a great deal and were able to buy it for only $200. Today, you notice that richer or more desperate fans on the internet would pay up to $3,000 for your ticket. Would you sell it?","Your local hardware store has been selling snow shovels for $15. This morning, after a very large snowstorm, the store raises the price to $20. How would you rate this action by the store?","Consider the letter R. Is R more likely to appear as the first letter in a word, or as the third letter?","You see three people named Al, Bob, and Carl wanting to play chess at a public park. You know that two of them are equally ranked amateurs, and one is a pro who will always beat either amateur, but you don't know which one is the pro. They ask you to match them up in a tournament. You randomly guess that Al is the pro so you have Bob and Carl face off first. Bob wins that game, and now will face Al for the championship. If you had to bet, who do you now think is the pro?","An individual has been described by a neighbor as follows: “Steve is very shy and withdrawn, invariably helpful but with very little interest in people or in the world of reality. A meek and tidy soul, he has a need for order and structure, and a passion for detail.” Is Steve more likely to be a librarian or a farmer?","There is a type of cancer that afflicts 0.1% of the population. A screening test correctly identifies the cancer 90% of the time when it is truly there, and correctly reports there is no cancer 95% of the time when it is truly not there. You take the screening test and it reports that you have the cancer. What is the probability that you really do? Please pick the answer closest to your best guess of the probability.","How many occurrences of the letter ""F"" are there in this sentence: ""FINISHED FILES ARE THE RESULT OF YEARS OF SCIENTIFIC STUDY COMBINED WITH THE EXPERIENCE OF YEARS.""","Suppose you had to predict the high temperature of the day for New York City two months from now. Suppose your best guess is that it will be 70 degrees Fahrenheit. What would be the range of your estimate, so that you would be 95% confident that the real temperature two months from now will in fact be in that range?","You just paid $1 for a lottery ticket with random numbers, and you haven't seen the numbers yet, when suddenly someone offers to pay you $2 for your lottery ticket. (They haven't seen your random numbers yet either.) There is still plenty of time for you to buy more lottery tickets before the drawing. Would you sell your ticket for $2?","There are two envelopes in front of you, one labeled Heads and one labeled Tails. Each envelope has five poker chips numbered from one to five. We'll flip a fair coin, then draw a random number from the indicated envelope. So there are ten possibilities (Heads 1...Heads 5 and Tails 1...Tails 5), but you can only pick three. If you correctly predict heads and the right number, you get $3. If you correctly predict tails and the right number, you get $2. Please select three of these possibilities.","Which of these does not belong? (There is only one correct answer.)","A bat and a ball cost $110 in total. The bat costs $100 more than the ball. How much does the ball cost?","A lot of people are going to answer this survey. For this question, they (and you) will all choose a number between 0 and 100. What do you think will be half the average of everybody's answer to this question? Please respond with a number between 0 and 100.","You bought one hundred shares of a stock when it cost $50. It now costs $30. You no longer like the stock: if you weren't already an owner of the stock, you would not want to buy it now. What do you want to do with the shares that you do currently own?","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I like to investigate things.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I generate few novel ideas.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I make many novel contributions.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I seldom notice what other people are up to.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I avoid thought provoking conversations.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I am very creative.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I am very curious.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I try to think of new ways of doing things.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I am rarely aware of changes.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I like to be challenged intellectually.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I find it easy to create new and effective ideas.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I am rarely alert to new developments.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I like to figure out how things work.]","Rate each phrase about you, from 1 = strongly disagree to 7 = strongly agree. [I am not an original thinker.]"
"Mindful","6/3/2020 12:42:18","8 / 23","Agree","Option 2","No, I don't think there is a missing fruit","I see the vase and faces on the left and the vase and faces on the right.","all my baby pictures","You get $20 for sure.","$1,500 today","Linda is a bank teller and is active in the feminist movement.","$500 into retirement",10,"more",20,"More likely to come up tails","Turn over cards 1, 2, 3, and 4.","A job paying $44,000 in a firm where the average salary is $50,000","Yes, I would sell it","Acceptable","R is more likely to appear as the third letter in a word","Al","Librarian","Between 90% and 95%",6,"65 - 75","No","Heads 2, Heads 3, Tails 3","A",5,42,"Sell if it drops even lower to $15, or if it gets back up to $50",5,5,5,5,5,3,7,6,2,6,4,4,6,3
"Mindful","6/4/2020 11:57:20","14 / 23","Agree","Option 1","Yes, I see the missing fruit","I see the vase and faces on the left and the vase and faces on the right.","Small paint mishap, concrete imperfection, paint overspray on window","You toss a fair coin. Heads you get $300. Tails you lose $100.","$1,800 one month from now","Linda is a bank teller.","$1000 -- all of it into savings for retirement",7,"less",2,"Equally likely to come up heads or tails","Turn over cards 3 and 4 only.","A job paying $44,000 in a firm where the average salary is $50,000","No, I would not sell it","Completely fair","R is more likely to appear as the first letter in a word","Bob","Librarian","Between 95% and 99.9%",5,"50 - 90","Yes","Heads 1, Heads 2, Heads 3","A",5,1,"Sell now",7,7,7,2,1,4,7,7,1,7,6,2,7,1
"Mindful","6/4/2020 20:28:58","18 / 23","Agree","Option 2","Yes, I see the missing fruit","I see the vase and faces on the left and the vase and faces on the right.","1. The trash cans have been stacked, instead of put next to each other.
2. A piece of paper fell behind the printer.
3. Only one of the overhead lights stays on for security when the lights are off.","You toss a fair coin. Heads you get $300. Tails you lose $100.","$1,800 one month from now","Linda is a bank teller.","$250 into retirement",10,"less",4,"Equally likely to come up heads or tails","Turn over cards 1, 3, and 4 only.","A job paying $44,000 in a firm where the average salary is $50,000","Yes, I would sell it","Acceptable","R is more likely to appear as the third letter in a word","Bob","Farmer","Between 0.1% and 5%",6,"50 - 90","Yes","Heads 2, Heads 3, Heads 4","B",5,7,"Sell now",7,1,5,1,1,6,7,7,2,7,5,2,7,2
"Mindful","6/5/2020 16:52:22","8 / 23","Agree","Option 2","Yes, I see the missing fruit","I see the vase and faces on the left and the vase and faces on the right.","nothing","You toss a fair coin. Heads you get $300. Tails you lose $100.","$1,800 one month from now","Linda is a bank teller.","$750 into retirement",10,"more",20,"Equally likely to come up heads or tails","Turn over cards 1 and 3 only.","A job paying $42,000 in a firm where the average salary is $38,000","No, I would not sell it","Acceptable","R is more likely to appear as the third letter in a word","Al","Librarian","Between 60% and 90%",5,"60 - 80","No","Heads 2, Tails 2, Tails 4","",10,63,"Sell if it drops even lower to $15, or if it gets back up to $50",5,2,2,1,3,2,4,1,3,4,1,3,2,6
"Mindful","6/5/2020 17:01:35","7 / 23","Agree","Option 1","Yes, I see the missing fruit","I see the vase and faces on the left and the vase and faces on the right.","
New dust, wires more organized, my headphones gone (found them outside my room)","You get $20 for sure.","$1,800 one month from now","Linda is a bank teller and is active in the feminist movement.","$1000 -- all of it into savings for retirement",14,"more",20,"More likely to come up heads","Turn over cards 1, 3, and 4 only.","A job paying $44,000 in a firm where the average salary is $50,000","No, I would not sell it","Acceptable","R is more likely to appear as the first letter in a word","Al","Farmer","Between 5% and 40%",5,"69 - 71","Yes","Heads 1, Heads 4, Tails 2","E",1,20,"Hold on no matter what until the price gets back to $50 or higher, then sell",3,2,5,2,3,7,4,4,5,6,7,2,3,1
"Mindful","6/5/2020 17:17:44","8 / 23","Agree","Option 1","Yes, I see the missing fruit","I see the vase and faces on the left and the vase and faces on the right.","An old angels hat, old photos of baseball","You get $20 for sure.","$1,800 one month from now","Linda is a bank teller and is active in the feminist movement.","$1000 -- all of it into savings for retirement",15,"less",2,"More likely to come up tails","Turn over cards 1 and 3 only.","A job paying $44,000 in a firm where the average salary is $50,000","No, I would not sell it","Unfair","R is more likely to appear as the first letter in a word","Bob","Librarian","Between 0% and 0.1%",3,"50 - 90","Yes","Heads 2, Heads 3, Tails 4","E",5,55,"Hold on no matter what until the price gets back to $50 or higher, then sell",6,4,3,2,1,4,4,3,3,6,2,3,5,7
"Mindful","6/5/2020 17:42:37","8 / 23","Agree","Option 2","No, I don't think there is a missing fruit","I see the vase and faces on the left and the vase and faces on the right.","I'm kinda in an empty room right now, so I don't think there's anything to notice in here yet.","You get $20 for sure.","$1,500 today","Linda is a bank teller and is active in the feminist movement.","$250 into retirement",16,"more",33,"More likely to come up tails","Turn over cards 1 and 3 only.","A job paying $44,000 in a firm where the average salary is $50,000","Yes, I would sell it","Acceptable","R is more likely to appear as the first letter in a word","Bob","Librarian","Between 90% and 95%",4,"40 - 100","No","Heads 1, Heads 3, Tails 2","B",5,27,"Sell if it drops even lower to $15, or if it gets back up to $50",6,6,3,1,2,2,2,6,2,6,3,2,7,4
"Mindful","6/5/2020 19:39:34","11 / 23","Agree","Option 1","Yes, I see the missing fruit","I see the vase and faces on the left and the vase and faces on the right.","i notice everything","You get $20 for sure.","$1,800 one month from now","Linda is a bank teller.","$750 into retirement",27,"less",10,"More likely to come up heads","Turn over cards 1 and 3 only.","A job paying $42,000 in a firm where the average salary is $38,000","No, I would not sell it","Completely fair","R is more likely to appear as the third letter in a word","Al","Farmer","Between 60% and 90%",6,"65 - 75","Yes","Heads 1, Tails 1, Tails 4","A",5,30,"Sell now",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Mindful","6/5/2020 20:04:16","12 / 23","Agree","Option 1","Yes, I see the missing fruit","I see only the vase on the left, and the vase and faces on the right.","Straw Wrapper, Leaf, and Plant Growth ","You toss a fair coin. Heads you get $300. Tails you lose $100.","$1,800 one month from now","Linda is a bank teller and is active in the feminist movement.","$250 into retirement",26,"less",45,"Equally likely to come up heads or tails","Turn over card 3 only.","A job paying $44,000 in a firm where the average salary is $50,000","No, I would not sell it","Unfair","R is more likely to appear as the third letter in a word","Bob","Farmer","Between 95% and 99.9%",6,"60 - 80","Yes","Heads 3, Heads 5, Tails 3","D",5,0.5,"Sell if it drops even lower to $15, or if it gets back up to $50",7,1,5,7,1,3,7,7,1,7,7,1,7,1
"Mindful","6/6/2020 5:57:32","10 / 23","Agree","Option 2","Yes, I see the missing fruit","I see the vase and faces on the left and the vase and faces on the right.","Nothing","You get $20 for sure.","$1,800 one month from now","Linda is a bank teller and is active in the feminist movement.","$500 into retirement",13,"more",40,"Equally likely to come up heads or tails","Turn over cards 1, 2, 3, and 4.","A job paying $44,000 in a firm where the average salary is $50,000","Yes, I would sell it","Acceptable","R is more likely to appear as the first letter in a word","Bob","Librarian","Between 0% and 0.1%",3,"65 - 75","Yes","Heads 2, Tails 2, Tails 5","A",5,16,"Hold on no matter what until the price gets back to $50 or higher, then sell",7,3,1,3,1,4,7,7,2,7,5,4,6,2
